编号,原始案号,预备,未遂,中止,较大,巨大,特别巨大,凶器,多次,流窜,扒窃,入户,系自首,立功,系坦白,如实供述,自愿认罪,认罪认罚,累犯,前科,未成年,老年人,残疾,精神病,谅解,和解,赔偿,黑恶势力,灾害,性别,学历,就业状况,法官性别,法官原始刑期,预测刑期1,预测刑期2,刑期差值1,刑期差值2,刑期差值3,slope_judge,slope_machine1,法官姓名编码
20456,189678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5.82,5.67,1.82,1.67,0.15,-0.490785372461941,-0.38931501833007,11082.0
20457,37356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,1,8,6.1,6.61,1.9,1.39,-0.5,-0.12277030470641,-0.383396804112038,9932.0
20458,161696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,3,5.0,4.49,2.0,1.49,0.5,-0.601582581644312,-0.518833476762913,14703.0
20459,31250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,10,9.9,10.31,0.1,0.31,-0.41,0.0040024996139225,0.0077205633476808,15079.0
20460,54248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6,8.12,8.92,2.12,2.92,-0.8,0.200178273928527,0.202674931029313,
20461,7953,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,12,16.38,14.72,4.38,2.72,1.66,-0.636480075566264,-0.559006004903976,4666.0
20463,243959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,7,6.91,7.41,0.09,0.41,-0.49,-0.0537573727148471,-0.0598049463515297,
20464,150234,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,6,5.81,5.15,0.19,0.85,0.66,-0.468794940234553,-0.479885305124978,6404.0
20465,234862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,5.68,5.66,2.68,2.66,0.02,-0.559511272176921,-0.424626132033637,6171.0
20466,145796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,7,6.57,6.02,0.43,0.98,0.55,-0.223711553517989,-0.265868466163514,11907.0
20467,207468,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,5,6.3,5.71,1.3,0.71,0.59,-0.527609399257844,-0.426883439830197,9873.0
20468,41125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,1,0,6,6.64,7.34,0.64,1.34,-0.69,0.397638344714444,0.183262990659687,6625.0
20469,267202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,6,14.42,15.04,8.42,9.04,-0.62,-0.222692079501681,0.156283239986557,10578.0
20470,121648,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,9.37,9.43,0.63,0.57,-0.06,-0.652158877556617,-0.594047939751463,10918.0
20471,102012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,5,6.28,6.42,1.28,1.42,-0.14,-0.254309697809888,-0.192115379897182,5524.0
20472,123413,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,12,6.61,5.65,5.39,6.35,0.96,-0.349103782259251,-0.147297443433965,8678.0
20473,211853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,6,1,1,6,7.59,7.84,1.59,1.84,-0.25,-0.0693813391712589,0.0220013919143237,382.0
20474,153240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6,8.59,8.71,2.59,2.71,-0.12,0.154630388647433,-0.347387946417039,3766.0
20475,302671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10,11.59,11.87,1.59,1.87,-0.28,-0.630922906319994,-0.649417389519473,16582.0
20476,47875,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,7,17.35,18.99,10.35,11.99,-1.64,0.154814408587488,-0.360949336983351,
20477,238177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,12,9.23,9.16,2.77,2.84,0.06,-0.662457690201664,-0.50019136071447,10252.0
20478,114747,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,5,1,1,32,24.69,26.85,7.31,5.15,-2.15,-0.150967051289241,-0.184782755748917,8753.0
20479,225458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8,1,1,12,8.66,8.53,3.34,3.47,0.13,0.0846795676442443,0.0322865082092344,11635.0
20480,127822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,10,5.99,6.09,4.01,3.91,-0.1,0.205653427037833,-0.409583166492867,
20481,157366,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,8,4.95,4.99,3.05,3.01,-0.04,-0.261626646385891,-0.594976647130502,14969.0
20482,4437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,4.95,5.48,0.95,1.48,-0.52,-0.490785372461941,-0.450265641420005,8391.0
20483,220210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,5.2,5.82,1.8,1.18,-0.62,-0.347702726873821,-0.591064054292223,4593.0
20484,293398,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,6,12.93,12.42,6.93,6.42,0.51,-0.0931331200881296,-0.407371586569296,275.0
20485,265271,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,4.73,5.82,1.27,0.18,-1.09,-0.47195625406298,-0.56715299648605,4650.0
20486,162524,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,10.01,9.28,2.01,1.28,0.73,-0.369447404757401,-0.562704303868371,6980.0
20487,255284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,2,1,0,8,8.99,8.59,0.99,0.59,0.4,-0.406100860717902,-0.451117315012035,9692.0
20488,172907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,6,5.46,4.78,0.54,1.22,0.68,-0.447980347967917,-0.486182821314097,13936.0
20489,292830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5.44,4.74,2.44,1.74,0.7,-0.538119245866653,-0.463352418573505,2070.0
20490,80799,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,6,4.72,4.57,1.28,1.43,0.14,-0.538077477835496,-0.705444353839528,1959.0
20491,224739,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,4,1,1,21,11.03,12.67,9.97,8.33,-1.64,-0.500491087362583,-0.7164173963448,13412.0
20492,106427,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,15,17.74,14.83,2.74,0.17,2.91,-0.577691550157756,-0.49178189066768,9924.0
20493,283230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,5,5.86,6.42,0.86,1.42,-0.55,-0.518684535875444,-0.409758524848906,15850.0
20494,187645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,1,8,8.12,7.65,0.12,0.35,0.47,0.0877370969069042,0.0817292795158681,17035.0
20495,209623,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,6,0,0,36,16.73,14.93,19.27,21.07,1.8,0.0956324810317935,-0.458350248853023,14295.0
20496,177621,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,11,9.38,9.32,1.62,1.68,0.05,-0.537264524184016,-0.5087797673746,1464.0
20497,213063,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,8.87,8.96,2.87,2.96,-0.09,0.0441096547109261,-0.46853572378524,1862.0
20498,242381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,8,1,1,8,11.99,12.25,3.99,4.25,-0.26,-0.484593636786507,-0.604189579577706,10782.0
20499,197464,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,4,6.1,5.79,2.1,1.79,0.31,-0.448442887635571,-0.265783012279782,7383.0
20500,300063,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,6.09,6.41,4.09,4.41,-0.32,-0.527936383008045,-0.475561073171523,11510.0
20501,17976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,3,4.3,4.18,1.3,1.18,0.12,-0.791112871646187,-0.742117957249514,16877.0
20502,302286,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,8.78,8.68,0.78,0.68,0.1,-0.14949283574787,-0.180855430457095,6696.0
20503,16661,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,8,1,1,8,10.0,10.79,2.0,2.79,-0.79,-0.303319342368279,-0.599563222736322,3575.0
20504,23335,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,6,6.9,5.86,0.9,0.14,1.04,-0.611208490413726,-0.547331304514465,6171.0
20505,253991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,6.88,7.22,0.88,1.22,-0.33,-0.163687742184974,-0.182328297786926,661.0
20506,248998,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,10,10.51,10.44,0.51,0.44,0.08,-0.73290510974787,-0.727124398635782,4731.0
20507,13559,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,6.14,6.3,0.14,0.3,-0.16,0.0930072519763335,0.0785199124066802,6019.0
20508,81952,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,12,9.95,11.07,2.05,0.93,-1.12,-0.0077509150877409,0.0767737401206117,780.0
20509,120962,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,8,5.05,5.47,2.95,2.53,-0.42,-0.261626646385891,-0.588355883543601,4886.0
20510,246905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,6,6.89,6.95,0.89,0.95,-0.06,-0.115223296229082,-0.141636553238752,7555.0
20511,104355,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,7,9.06,9.01,2.06,2.01,0.04,0.505017772611163,-0.197077489914941,6000.0
20512,223374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,8.82,8.83,1.18,1.17,0.0,-0.130469189031656,-0.20742593805455,3045.0
20513,103634,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,7.23,7.47,1.23,1.47,-0.24,0.151350111438357,-0.0910066951727434,
20514,245494,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,8,1,0,12,11.61,11.57,0.39,0.43,0.05,-0.728692734450784,-0.708571853720104,15934.0
20515,10106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,6,4.9,4.94,1.1,1.06,-0.04,-0.295195097875269,-0.426707584573191,1484.0
20516,6764,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,36,37.9,37.64,1.9,1.64,0.26,-0.270261487123226,-0.257298444421224,1227.0
20517,272495,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,36,32.61,32.39,3.39,3.61,0.22,-0.0264328278464801,0.0724891182633925,3095.0
20518,73388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,2,0,1,8,8.71,10.78,0.71,2.78,-2.07,-0.130911609742392,-0.243676464573293,6246.0
20519,149258,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,6,0,1,36,20.28,24.1,15.72,11.9,-3.82,-0.202886238463991,0.265971532558045,15808.0
20520,129621,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,6.06,6.31,4.06,4.31,-0.25,-0.498929032504207,-0.40472001372435,891.0
20521,89937,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,5.51,5.22,1.51,1.22,0.29,-0.195500897004925,-0.108598590287284,7112.0
20522,297229,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,6,6.01,6.41,0.01,0.41,-0.4,-0.619612926066231,-0.617923345929589,10835.0
20523,268807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,7,6.72,6.15,0.28,0.85,0.57,-0.364046804655991,-0.387439428530707,
20524,286316,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10,5.61,5.83,4.39,4.17,-0.23,-0.0289899424536824,-0.31462353558027,11458.0
20525,291876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,2,1,0,5,5.19,5.3,0.19,0.3,-0.11,-0.292067565148889,-0.264357705336633,9570.0
20526,139726,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,10,9.72,10.75,0.28,0.75,-1.03,-0.305333879222296,-0.268852147177434,3774.0
20527,92219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,26,11.05,10.83,14.95,15.17,0.22,-0.384393421018799,-0.711743027396283,8327.0
20528,46623,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,4.29,3.8,1.29,0.8,0.49,-0.585283332944709,-0.552394521611047,12364.0
20529,101597,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,15.49,14.67,1.49,0.67,0.82,-0.187464988121307,-0.181485191435015,4345.0
20530,57575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10,6.13,5.7,3.87,4.3,0.43,-0.179897288460112,-0.345225115384172,
20531,77110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,8,1,0,7,8.43,8.1,1.43,1.1,0.33,-0.35291768020067,-0.157369326239417,7327.0
20532,97102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,8,4.7,4.28,3.3,3.72,0.42,-0.165788105511004,-0.571998338783633,
20533,162147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6,36.64,36.22,30.64,30.22,0.42,0.282018771806575,-0.0711841500839379,7159.0
20534,273514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,6.87,7.08,0.87,1.08,-0.21,-0.293317148430164,-0.210925510110061,11596.0
20535,225581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,8,5.11,5.21,2.89,2.79,-0.09,-0.329401702536835,-0.672909833297992,2690.0
20536,44190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,7.52,7.52,0.52,0.52,-0.01,-0.406958612303334,-0.34341745971547,16066.0
20537,205396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,7.73,7.35,3.73,3.35,0.38,-0.286130896076178,-0.12912611960086,4405.0
20538,170909,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,8,1,1,10,8.94,7.69,1.06,2.31,1.25,-0.47319786073409,-0.446960997064271,8228.0
20539,161277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,7.6,7.78,1.6,1.78,-0.18,-0.0060831202288869,-0.0152226516802133,1473.0
20540,187731,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,4.62,4.24,1.38,1.76,0.38,-0.538094482650197,-0.70874794768662,16739.0
20541,78121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,6,7.2,7.38,1.2,1.38,-0.18,-0.32738598961751,-0.20227214236939,7099.0
20542,260404,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,5.29,5.83,1.29,1.83,-0.54,-0.586263732096932,-0.5163524492596,5788.0
20543,141365,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,6,8.82,9.06,2.82,3.06,-0.24,0.768766594585904,0.326744818432612,9934.0
20544,258778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8.09,8.1,0.09,0.1,-0.01,-0.435683192805009,-0.433346680377617,7813.0
20545,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,6.85,6.3,3.85,3.3,0.55,-0.242058726308874,-0.0772346770767315,10659.0
20546,270999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,4,6.25,5.59,2.25,1.59,0.65,-0.344348701596219,-0.222256763961635,12130.0
20547,202322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,8,7.12,6.78,0.88,1.22,0.34,-0.0233668936506904,-0.0804884273489789,13252.0
20548,97950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,6.76,7.31,0.76,1.31,-0.55,-0.0749115311711755,-0.069695179844977,3766.0
20549,253855,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7.11,7.28,1.11,1.28,-0.17,0.580225163278292,0.479858149643144,6284.0
20550,238159,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,16,19.74,19.52,3.74,3.52,0.22,-0.191591189192394,-0.137352081979933,16330.0
20551,212340,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,6,5.38,5.6,0.62,0.4,-0.22,-0.538077477835496,-0.62062600069095,9069.0
20552,10518,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,30,13.72,14.12,16.28,15.88,-0.4,-0.0152006229104486,-0.267752024718377,3826.0
20553,225846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,5.96,6.13,0.04,0.13,-0.17,-0.332412922932261,-0.332349107181417,
20554,190442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,6,4.91,4.6,1.09,1.4,0.31,-0.612196860682771,-0.700914898706725,15018.0
20555,253173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,6,6.88,7.09,0.88,1.09,-0.2,0.0673397051292804,-0.0048782529623993,16468.0
20556,182031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,8,1,0,3,6.11,5.82,3.11,2.82,0.29,-0.434307617545118,-0.277892975049261,7331.0
20557,173863,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9.22,8.96,0.22,0.04,0.26,-0.103927193863416,-0.11737295531549,2109.0
20558,131560,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,10,5.25,5.47,4.75,4.53,-0.21,-0.143143823776009,-0.530543036192172,10172.0
20559,62846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,17,17.41,17.7,0.41,0.7,-0.29,-0.615706044335317,-0.602803598041239,7263.0
20560,252516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6.68,6.84,0.68,0.84,-0.17,-0.33081485563435,-0.25113879336506,1426.0
20561,236397,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,43,35.65,40.04,7.35,2.96,-4.39,-0.194852171816405,-0.17487596763255,2674.0
20562,113764,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,2,1,2,12,11.21,11.34,0.79,0.66,-0.13,-0.877604402884224,-0.839249713735513,
20563,225003,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,6,9.47,8.85,3.47,2.85,0.62,0.132077296479744,-0.585984845376231,9757.0
20564,91062,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,14,13.07,13.19,0.93,0.81,-0.12,-0.49967806946046,-0.512536813499567,6423.0
20565,204541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,1,5,5.79,6.08,0.79,1.08,-0.29,-0.254309697809888,-0.209750066749554,15640.0
20566,28715,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,3,6.77,6.91,3.77,3.91,-0.14,-0.490477907542388,-0.352332349441894,707.0
20567,153702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,2,10,12.27,11.83,2.27,1.83,0.45,-0.48024864028443,-0.548519564916033,11219.0
20568,123936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,6,5.84,6.04,0.16,0.04,-0.2,-0.49030657616969,-0.506541418335209,8183.0
20569,263662,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,10,8.88,9.13,1.12,0.87,-0.25,-0.47319786073409,-0.44348030301433,4164.0
20570,66175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,8,7.98,8.0,0.02,0.0,-0.02,0.0877370969069042,0.0887954680894862,5073.0
20571,219354,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,12,14.34,14.39,2.34,2.39,-0.05,-0.613894073786832,-0.540845420404449,5291.0
20572,209322,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,24,16.93,16.2,7.07,7.8,0.73,-0.631738841280019,-0.82592405829586,14263.0
20573,196813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,1,1,6,9.6,8.98,3.6,2.98,0.62,0.422219481347299,-0.40598217480748,16003.0
20574,232705,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,6,5.28,5.83,0.72,0.17,-0.55,-0.612196860682771,-0.667153488548162,5707.0
20575,8469,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,1,0,2,5.97,6.1,3.97,4.1,-0.13,-0.460110566839766,-0.298719318511245,4460.0
